Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase,Importance
1142bb,2,1,1,0.000999999997475243,0.0069999999823267,0.00399999998990097,0.00424264067640765,1,0.5,0.5,0
25aab,1,0,1,0.000999999997475243,0.000999999997475243,0,0,1,1,0,0
26cd7,17,0,17,0.189999999975043,0.545999999985725,0.247882352943955,0.102976867754428,1,1,0,0
a982,1,0,1,0.00399999998990097,0.00399999998990097,0,0,1,1,0,0
268fe,4,0,4,0.000999999997475243,0.00299999999242573,0.00199999999495049,0.00081649657886627,1,1,0,0
269fb,4,0,4,0.000999999997475243,0.000999999997475243,0.000999999997475243,0,1,1,0,0
a9c5,9,3,6,0.000999999997475243,0.00399999998990097,0.00233333332744223,0.00122474486829941,0.666666666666667,0.666666666666667,0,0
a601,22,7,15,0.000999999997475243,0.545999999985725,0.174863636356225,0.149809496629004,0.681818181818182,0.681818181818182,0,0
20e1f,1,0,1,0.00199999999495049,0.00199999999495049,0,0,1,1,0,0
1513e,1,0,1,0,0,0,0,1,1,0,0
1519a,1,0,1,0.000999999997475243,0.000999999997475243,0,0,1,1,0,0
151d1,1,0,1,0.000999999997475243,0.000999999997475243,0,0,1,1,0,0
113eee,4,0,4,0.000999999997475243,0.00199999999495049,0.00124999999684405,0.000499999998737621,1,1,0,0
114afb,1,0,1,0.00299999999242573,0.00299999999242573,0,0,1,1,0,0
29d90,6,5,1,0.000999999997475243,0.0139999999646534,0.00433333332239272,0.00484424055432546,0.166666666666667,0.166666666666667,0,0
eaca1,1,0,1,0,0,0,0,1,1,0,0
119a1b,5,4,1,0.000999999997475243,0.0139999999646534,0.00359999999091087,0.00581377672682108,0,0.2,-0.2,0
370,4,3,1,0.000999999997475243,0.198999999952321,0.051249999984293,0.0985101517397616,0,0.25,-0.25,0
36857,4,3,1,0.000999999997475243,0.198999999952321,0.051249999984293,0.0985101517397616,0,0.25,-0.25,0
6d90,4,3,1,0.00199999999495049,0.0139999999646534,0.00524999998674502,0.00585234994058405,0,0.25,-0.25,0
11a9db,2,1,1,0.000999999997475243,0.202999999942222,0.101999999969848,0.142835569760612,0,0.5,-0.5,0
114992,2,1,1,0.000999999997475243,0.0109999999722277,0.00599999998485146,0.00707106779401274,0,0.5,-0.5,0
680000,2,1,1,0.000999999997475243,0.00399999998990097,0.00249999999368811,0.00212132033820382,0,0.5,-0.5,0
e66b7,2,1,1,0,0.0160000000732907,0.00800000003664536,0.0113137085508091,0,0.5,-0.5,0
1f85c,8,3,5,0.000999999997475243,0.225999999997839,0.134875000000534,0.108027030359272,0,0.625,-0.625,0
19cf7,1,0,1,0.000999999997475243,0.000999999997475243,0,0,0,1,-1,0
269cb,1,0,1,0.00599999998485146,0.00599999998485146,0,0,0,1,-1,0
26b38,4,0,4,0.00299999999242573,0.00399999998990097,0.00374999999053216,0.000499999998737621,0,1,-1,0
26b88,3,0,3,0.00199999999495049,0.00299999999242573,0.00233333332744223,0.000577350267731956,0,1,-1,0
26d4b,6,0,6,0.190999999972519,0.225999999997839,0.213499999991503,0.0119457105332188,0,1,-1,0
26bbe,4,0,4,0.000999999997475243,0.000999999997475243,0.000999999997475243,0,0,1,-1,0
23a83,4,0,4,0.190999999972519,0.219000000015512,0.209500000011076,0.0126622799655459,0,1,-1,0
24230,1,0,1,0.225999999997839,0.225999999997839,0,0,0,1,-1,0
11a494,1,0,1,0.000999999997475243,0.000999999997475243,0,0,0,1,-1,0
26d1b,1,0,1,0.00799999997980194,0.00799999997980194,0,0,0,1,-1,0
46c87,1,0,1,0.00100000011116208,0.00100000011116208,0,0,0,1,-1,0
1146eb,1,0,1,0.00599999998485146,0.00599999998485146,0,0,0,1,-1,0
119bcc,2,0,2,0.00299999999242573,0.00399999998990097,0.00349999999116335,0.000707106779401274,0,1,-1,0
11ebd7,1,0,1,0.198999999952321,0.198999999952321,0,0,0,1,-1,0
11a0fa,1,0,1,0.00399999998990097,0.00399999998990097,0,0,0,1,-1,0
773d,1,0,1,0.00399999998990097,0.00399999998990097,0,0,0,1,-1,0
11aaff,1,0,1,0.000999999997475243,0.000999999997475243,0,0,0,1,-1,0
1141ee,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
5c41,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
a14f,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
94b1,2,0,2,0.00199999999495049,0.00199999999495049,0.00199999999495049,0,0,1,-1,0
114a37,1,0,1,0.00799999997980194,0.00799999997980194,0,0,0,1,-1,0
